Ciudad,Categoría del problema,Categoria numerica,Nivel de urgencia,Fecha del reporte
Cali,Seguridad,3,4,2024-01-20
Medellín,Salud,1,4,2024-08-24
Pereira,Seguridad,3,1,2024-07-20
Cúcuta,Seguridad,3,4,2023-03-12
Santa Marta,Salud,1,1,2024-11-21
Pereira,Salud,1,3,2024-12-01
Bogotá,Seguridad,3,1,2023-11-12
Bogotá,Salud,1,2,2024-09-06
Medellín,Educación,2,3,2024-03-23
Cali,Medio Ambiente,4,2,2024-10-14
Pereira,Seguridad,3,2,2024-07-15
Cali,Medio Ambiente,4,2,2023-08-05
Manizales,Medio Ambiente,4,1,2023-08-14
Cartagena,Medio Ambiente,4,3,2023-04-04
Barranquilla,Educación,2,1,2024-04-23
Bogotá,Educación,2,1,2023-12-04
Santa Marta,Salud,1,3,2024-02-10
Santa Marta,Seguridad,3,3,2023-03-14
Bogotá,Seguridad,3,3,2024-06-17
Bucaramanga,Salud,1,1,2024-08-10
Bogotá,Educación,2,1,2023-07-19
Bogotá,Educación,2,1,2023-08-12
Bucaramanga,Seguridad,3,3,2023-10-18
Pereira,Medio Ambiente,4,3,2024-01-11
Manizales,Educación,2,1,2024-07-07
Manizales,Educación,2,1,2023-07-15
Bogotá,Salud,1,3,2023-03-31
Pereira,Medio Ambiente,4,3,2024-05-29
Barranquilla,Medio Ambiente,4,4,2024-01-23
Barranquilla,Educación,2,3,2024-05-20
Cali,Seguridad,3,2,2023-01-01
Cali,Medio Ambiente,4,3,2024-10-26
Bogotá,Salud,1,4,2024-07-04
Manizales,Educación,2,2,2024-01-25
Cali,Seguridad,3,1,2024-11-28
Bogotá,Medio Ambiente,4,4,2023-09-19
Bucaramanga,Educación,2,1,2023-04-06
Santa Marta,Seguridad,3,1,2024-01-10
Cali,Educación,2,2,2023-03-05
Manizales,Medio Ambiente,4,2,2023-05-16
Cartagena,Salud,1,3,2023-03-20
Medellín,Seguridad,3,1,2024-10-12
Santa Marta,Salud,1,3,2024-02-17
Bogotá,Salud,1,3,2024-03-04
Bogotá,Seguridad,3,3,2023-09-25
Bogotá,Educación,2,3,2024-05-14
Cartagena,Educación,2,2,2024-09-23
Cúcuta,Educación,2,3,2023-05-21
Manizales,Seguridad,3,2,2024-04-07
Bucaramanga,Seguridad,3,4,2023-02-08
Pereira,Educación,2,1,2024-09-14
Bucaramanga,Medio Ambiente,4,1,2024-07-08
Santa Marta,Seguridad,3,4,2023-02-04
Manizales,Salud,1,2,2023-09-15
Santa Marta,Educación,2,3,2024-09-20
Bogotá,Educación,2,2,2024-05-08
Cúcuta,Seguridad,3,2,2024-04-30
Santa Marta,Medio Ambiente,4,3,2023-06-27
Cúcuta,Educación,2,3,2024-11-29
Medellín,Educación,2,2,2023-06-14
Cúcuta,Salud,1,2,2023-04-15
Bogotá,Medio Ambiente,4,1,2023-12-19
Cúcuta,Educación,2,3,2023-03-23
Barranquilla,Medio Ambiente,4,3,2023-03-31
Bogotá,Seguridad,3,3,2024-07-01
Bogotá,Medio Ambiente,4,4,2023-05-23
Barranquilla,Educación,2,3,2024-09-09
Pereira,Educación,2,3,2024-02-19
Bogotá,Medio Ambiente,4,1,2023-05-01
Bucaramanga,Educación,2,4,2024-01-04
Bucaramanga,Seguridad,3,3,2024-03-13
Bogotá,Medio Ambiente,4,2,2023-03-30
Cúcuta,Seguridad,3,3,2024-08-09
Cali,Medio Ambiente,4,2,2023-04-15
Santa Marta,Salud,1,3,2023-01-04
Cartagena,Medio Ambiente,4,2,2023-09-06
Bucaramanga,Educación,2,4,2023-05-23
Medellín,Seguridad,3,4,2024-05-16
Cali,Medio Ambiente,4,2,2024-07-08
Manizales,Salud,1,4,2024-07-21
Pereira,Medio Ambiente,4,3,2023-11-06
Manizales,Educación,2,4,2023-12-21
Bucaramanga,Salud,1,4,2024-03-01
Cúcuta,Medio Ambiente,4,3,2024-04-18
Santa Marta,Salud,1,3,2023-07-28
Bucaramanga,Educación,2,4,2024-08-30
Bucaramanga,Salud,1,2,2024-09-25
Barranquilla,Salud,1,3,2023-05-06
Manizales,Educación,2,3,2023-12-19
Bucaramanga,Seguridad,3,4,2023-12-13
Cúcuta,Educación,2,3,2024-08-01
Santa Marta,Seguridad,3,2,2023-07-04
Santa Marta,Educación,2,4,2024-08-11
Barranquilla,Medio Ambiente,4,4,2023-05-11
Bucaramanga,Salud,1,3,2023-03-25
Cúcuta,Seguridad,3,2,2024-07-22
Bucaramanga,Educación,2,3,2023-01-26
Medellín,Educación,2,4,2024-01-25
Barranquilla,Medio Ambiente,4,4,2023-03-26
Santa Marta,Medio Ambiente,4,2,2023-10-30
Cúcuta,Educación,2,3,2023-09-12
Medellín,Educación,2,4,2024-11-17
Bogotá,Medio Ambiente,4,1,2023-05-26
Cali,Seguridad,3,3,2023-04-28
Bogotá,Salud,1,1,2023-04-11
Santa Marta,Seguridad,3,4,2024-08-05
Cartagena,Educación,2,3,2024-02-23
Manizales,Medio Ambiente,4,3,2023-03-21
Barranquilla,Seguridad,3,1,2024-03-03
Cali,Educación,2,3,2023-06-12
Bogotá,Educación,2,1,2024-06-02
Medellín,Seguridad,3,4,2024-03-17
Barranquilla,Medio Ambiente,4,4,2023-12-07
Cúcuta,Medio Ambiente,4,3,2023-02-27
Manizales,Medio Ambiente,4,4,2024-02-10
Manizales,Seguridad,3,4,2023-11-14
Barranquilla,Salud,1,1,2023-04-07
Bucaramanga,Medio Ambiente,4,2,2023-05-20
Cúcuta,Medio Ambiente,4,4,2023-05-12
Pereira,Educación,2,3,2023-03-22
Barranquilla,Seguridad,3,2,2023-08-27
Bucaramanga,Educación,2,1,2024-11-19
Manizales,Educación,2,4,2023-10-22
Cúcuta,Medio Ambiente,4,3,2023-07-11
Cúcuta,Salud,1,1,2023-11-07
Medellín,Medio Ambiente,4,4,2023-11-10
Cúcuta,Educación,2,3,2023-06-30
Cartagena,Seguridad,3,3,2024-08-31
Cartagena,Medio Ambiente,4,1,2024-08-20
Cúcuta,Medio Ambiente,4,2,2024-08-02
Cúcuta,Medio Ambiente,4,4,2024-08-12
Cúcuta,Educación,2,4,2023-05-12
Pereira,Salud,1,4,2024-05-20
Santa Marta,Seguridad,3,1,2023-08-12
Manizales,Medio Ambiente,4,1,2023-09-28
Cúcuta,Medio Ambiente,4,2,2024-03-12
Cúcuta,Educación,2,3,2023-04-06
Cartagena,Salud,1,3,2023-11-06
Cúcuta,Educación,2,3,2023-07-01
Pereira,Educación,2,3,2024-10-18
Cúcuta,Medio Ambiente,4,1,2024-03-20
Bucaramanga,Salud,1,3,2024-01-10
Bucaramanga,Seguridad,3,3,2023-11-06
Pereira,Medio Ambiente,4,4,2023-04-09
Medellín,Seguridad,3,4,2023-01-22
Cúcuta,Seguridad,3,2,2023-04-01
Cartagena,Educación,2,4,2023-11-21
Cali,Medio Ambiente,4,4,2024-04-10
Cúcuta,Seguridad,3,2,2023-09-05
Santa Marta,Educación,2,3,2024-02-15
Cúcuta,Medio Ambiente,4,4,2024-08-22
Bucaramanga,Medio Ambiente,4,3,2023-06-17
Medellín,Salud,1,2,2023-05-13
Cartagena,Medio Ambiente,4,1,2024-11-20
Cúcuta,Educación,2,2,2024-06-30
Pereira,Educación,2,2,2023-10-25
Medellín,Salud,1,1,2023-10-02
Bucaramanga,Educación,2,3,2023-01-02
Cúcuta,Medio Ambiente,4,3,2024-08-18
Santa Marta,Seguridad,3,4,2024-11-19
Manizales,Educación,2,3,2024-10-30
Cartagena,Medio Ambiente,4,2,2024-05-22
Bogotá,Seguridad,3,1,2023-10-29
Santa Marta,Medio Ambiente,4,1,2023-01-13
Cartagena,Educación,2,1,2023-03-25
Santa Marta,Seguridad,3,2,2023-12-06
Bucaramanga,Educación,2,3,2024-01-21
Bucaramanga,Seguridad,3,2,2024-01-02
Manizales,Educación,2,2,2023-06-15
Bogotá,Educación,2,4,2023-12-09
Cartagena,Educación,2,4,2023-02-15
Pereira,Salud,1,3,2024-02-03
Santa Marta,Educación,2,2,2023-09-30
Bogotá,Educación,2,4,2023-06-24
Pereira,Salud,1,1,2024-08-08
Medellín,Medio Ambiente,4,2,2023-10-07
Bucaramanga,Educación,2,4,2024-09-08
Bucaramanga,Educación,2,4,2023-01-24
Cali,Medio Ambiente,4,1,2023-11-30
Medellín,Medio Ambiente,4,4,2023-02-27
Cartagena,Seguridad,3,1,2024-02-25
Santa Marta,Medio Ambiente,4,4,2023-12-03
Medellín,Salud,1,4,2023-06-15
Barranquilla,Medio Ambiente,4,1,2024-02-13
Cali,Educación,2,3,2024-06-09
Pereira,Medio Ambiente,4,3,2024-07-13
Manizales,Salud,1,3,2023-11-13
Barranquilla,Educación,2,3,2023-10-17
Cali,Medio Ambiente,4,2,2023-10-20
Cartagena,Educación,2,3,2023-08-12
Medellín,Medio Ambiente,4,4,2024-05-27
Santa Marta,Educación,2,4,2023-01-12
Cartagena,Educación,2,1,2024-03-15
Cartagena,Medio Ambiente,4,4,2023-10-31
Manizales,Seguridad,3,3,2024-07-03
Pereira,Salud,1,2,2024-08-03
Pereira,Educación,2,3,2024-03-21
Cúcuta,Salud,1,3,2023-05-28
Cali,Salud,1,1,2024-08-16
Santa Marta,Educación,2,1,2023-11-24
Bucaramanga,Seguridad,3,1,2023-11-29
Bogotá,Medio Ambiente,4,1,2024-01-23
Bucaramanga,Seguridad,3,2,2023-03-21
Manizales,Educación,2,4,2024-04-26
Cartagena,Educación,2,1,2023-03-01
Medellín,Seguridad,3,2,2024-11-08
Cúcuta,Medio Ambiente,4,1,2023-06-08
Barranquilla,Medio Ambiente,4,2,2023-03-15
Cúcuta,Educación,2,2,2024-01-19
Santa Marta,Educación,2,3,2024-09-10
Santa Marta,Medio Ambiente,4,1,2023-08-04
Cartagena,Educación,2,2,2023-01-14
Cartagena,Medio Ambiente,4,3,2024-11-14
Cúcuta,Seguridad,3,4,2024-04-20
Cartagena,Seguridad,3,3,2024-10-12
Cali,Salud,1,1,2024-07-01
Barranquilla,Seguridad,3,4,2024-02-12
Bucaramanga,Salud,1,4,2024-05-27
Bogotá,Salud,1,1,2023-01-15
Cartagena,Educación,2,3,2023-01-16
Manizales,Seguridad,3,3,2024-06-17
Medellín,Educación,2,2,2023-10-27
Cúcuta,Educación,2,4,2024-11-17
Manizales,Educación,2,3,2024-04-17
Cúcuta,Educación,2,4,2024-07-04
Bucaramanga,Medio Ambiente,4,4,2023-08-25
Santa Marta,Medio Ambiente,4,3,2023-02-12
Cúcuta,Seguridad,3,3,2024-05-10
Cartagena,Educación,2,1,2024-09-12
Bucaramanga,Medio Ambiente,4,1,2023-09-04
Pereira,Medio Ambiente,4,4,2024-05-29
Cali,Seguridad,3,2,2023-05-06
Santa Marta,Medio Ambiente,4,3,2024-08-30
Cali,Educación,2,3,2023-11-14
Bucaramanga,Medio Ambiente,4,3,2023-02-01
Bogotá,Educación,2,2,2023-03-05
Medellín,Educación,2,2,2023-02-27
Cúcuta,Medio Ambiente,4,1,2023-08-07
Bucaramanga,Seguridad,3,2,2023-11-23
Pereira,Salud,1,3,2024-01-07
Pereira,Seguridad,3,2,2023-05-16
Santa Marta,Medio Ambiente,4,4,2023-06-02
Medellín,Medio Ambiente,4,2,2024-03-18
Bucaramanga,Educación,2,1,2023-03-10
Medellín,Medio Ambiente,4,2,2024-01-17
Cali,Medio Ambiente,4,3,2023-04-30
Pereira,Seguridad,3,1,2024-04-06
Pereira,Medio Ambiente,4,3,2024-01-30
Cartagena,Salud,1,2,2023-10-19
Cúcuta,Medio Ambiente,4,2,2023-06-20
Medellín,Educación,2,4,2023-01-06
Bucaramanga,Seguridad,3,1,2023-11-16
Medellín,Educación,2,3,2024-03-07
Bogotá,Educación,2,1,2023-06-20
Cúcuta,Educación,2,2,2024-10-11
Manizales,Medio Ambiente,4,3,2023-04-14
Pereira,Salud,1,2,2024-05-21
Cúcuta,Educación,2,2,2024-01-05
Bucaramanga,Educación,2,1,2023-11-22
Bucaramanga,Educación,2,1,2024-02-24
Santa Marta,Medio Ambiente,4,1,2023-03-12
Santa Marta,Salud,1,3,2023-03-14
Medellín,Seguridad,3,4,2024-05-17
Medellín,Educación,2,3,2024-09-14
Bucaramanga,Salud,1,4,2024-10-08
Barranquilla,Educación,2,4,2023-12-26
Santa Marta,Educación,2,2,2023-05-02
Pereira,Medio Ambiente,4,3,2023-04-23
Barranquilla,Seguridad,3,2,2024-03-14
Cartagena,Medio Ambiente,4,2,2024-04-05
Manizales,Seguridad,3,3,2024-06-11
Bucaramanga,Seguridad,3,4,2023-12-29
Barranquilla,Seguridad,3,3,2023-08-20
Bogotá,Seguridad,3,2,2024-02-29
Pereira,Medio Ambiente,4,1,2023-12-21
Cali,Seguridad,3,4,2023-03-14
Medellín,Educación,2,2,2024-10-12
Barranquilla,Seguridad,3,2,2024-01-25
Barranquilla,Seguridad,3,4,2023-06-18
Santa Marta,Educación,2,3,2023-05-11
Cali,Medio Ambiente,4,2,2024-08-11
Bogotá,Medio Ambiente,4,3,2024-01-02
Cúcuta,Seguridad,3,4,2023-07-04
Bucaramanga,Medio Ambiente,4,1,2024-01-18
Santa Marta,Educación,2,2,2023-11-10
Cúcuta,Seguridad,3,2,2024-10-21
Santa Marta,Educación,2,4,2024-03-08
Barranquilla,Educación,2,4,2024-05-27
Manizales,Educación,2,2,2024-07-24
Bogotá,Medio Ambiente,4,1,2023-03-27
Santa Marta,Salud,1,4,2024-04-04
Bucaramanga,Medio Ambiente,4,4,2023-02-24
Cartagena,Medio Ambiente,4,4,2023-06-16
Bucaramanga,Educación,2,3,2023-11-20
Medellín,Educación,2,2,2023-10-15
Bogotá,Educación,2,4,2024-08-10
Barranquilla,Educación,2,4,2024-07-27
Bogotá,Seguridad,3,4,2023-09-02
Santa Marta,Salud,1,1,2023-03-23
Bucaramanga,Medio Ambiente,4,1,2023-07-03
Pereira,Medio Ambiente,4,2,2023-08-28
Cali,Medio Ambiente,4,3,2023-10-07
Pereira,Medio Ambiente,4,3,2024-02-28
Cartagena,Educación,2,3,2023-06-24
Medellín,Seguridad,3,1,2024-12-01
Medellín,Medio Ambiente,4,1,2024-06-09
Cali,Medio Ambiente,4,1,2024-04-07
Manizales,Medio Ambiente,4,4,2024-08-25
Cartagena,Medio Ambiente,4,2,2024-07-03
Bogotá,Medio Ambiente,4,4,2023-05-24
Bucaramanga,Educación,2,4,2023-08-11
Cúcuta,Medio Ambiente,4,4,2024-09-08
Manizales,Educación,2,1,2023-05-07
Medellín,Educación,2,4,2024-07-14
Cartagena,Seguridad,3,3,2023-08-26
Manizales,Seguridad,3,1,2024-03-07
Cúcuta,Educación,2,1,2023-05-15
Bucaramanga,Salud,1,3,2024-08-13
Barranquilla,Medio Ambiente,4,3,2024-09-16
Bogotá,Medio Ambiente,4,1,2023-01-12
Santa Marta,Educación,2,1,2024-09-02
Bucaramanga,Medio Ambiente,4,4,2023-07-20
Cali,Medio Ambiente,4,1,2024-06-22
Manizales,Medio Ambiente,4,3,2023-06-01
Medellín,Medio Ambiente,4,4,2024-04-23
Cúcuta,Educación,2,2,2024-08-19
Bogotá,Salud,1,1,2023-01-13
Bucaramanga,Seguridad,3,3,2023-11-11
Cali,Educación,2,1,2023-09-28
Cartagena,Medio Ambiente,4,1,2024-06-10
Bogotá,Salud,1,1,2023-08-30
Cartagena,Educación,2,1,2023-02-11
Bucaramanga,Seguridad,3,3,2023-12-24
Manizales,Medio Ambiente,4,3,2023-04-07
Cúcuta,Seguridad,3,3,2023-10-13
Bogotá,Seguridad,3,2,2023-09-03
Pereira,Seguridad,3,4,2024-11-04
Cali,Medio Ambiente,4,3,2024-06-21
Medellín,Seguridad,3,1,2023-03-04
Manizales,Medio Ambiente,4,2,2023-08-31
Santa Marta,Salud,1,2,2023-07-02
Bucaramanga,Educación,2,3,2024-07-15
Barranquilla,Seguridad,3,3,2024-01-25
Cúcuta,Educación,2,4,2023-04-11
Manizales,Medio Ambiente,4,4,2024-08-16
Medellín,Medio Ambiente,4,4,2024-05-11
Manizales,Educación,2,4,2024-09-07
Bucaramanga,Medio Ambiente,4,1,2023-10-28
Barranquilla,Medio Ambiente,4,3,2024-05-26
Medellín,Educación,2,3,2024-05-07
Bucaramanga,Medio Ambiente,4,3,2024-04-27
Santa Marta,Educación,2,1,2023-10-16
Bogotá,Educación,2,3,2024-01-10
Manizales,Salud,1,1,2023-03-08
Bucaramanga,Educación,2,1,2024-05-07
Bucaramanga,Medio Ambiente,4,1,2023-09-18
Cartagena,Medio Ambiente,4,3,2024-02-21
Manizales,Medio Ambiente,4,4,2024-06-01
Santa Marta,Medio Ambiente,4,3,2023-02-05
Pereira,Seguridad,3,1,2023-11-12
Bucaramanga,Educación,2,1,2024-01-04
Barranquilla,Educación,2,4,2024-11-28
Medellín,Seguridad,3,3,2024-10-31
Medellín,Educación,2,1,2024-10-16
Bogotá,Salud,1,1,2023-01-03
Manizales,Medio Ambiente,4,2,2023-03-08
Bucaramanga,Salud,1,2,2024-10-14
Barranquilla,Salud,1,3,2023-09-21
Pereira,Salud,1,3,2024-07-11
Barranquilla,Medio Ambiente,4,1,2024-02-26
Santa Marta,Seguridad,3,3,2023-03-19
Medellín,Salud,1,4,2023-03-08
Cartagena,Salud,1,4,2024-08-29
Cúcuta,Salud,1,1,2024-11-03
Bucaramanga,Educación,2,4,2024-07-28
Medellín,Salud,1,3,2024-05-26
Pereira,Educación,2,2,2023-11-10
Cali,Salud,1,2,2024-01-15
Cali,Medio Ambiente,4,4,2023-08-12
Pereira,Salud,1,3,2023-07-03
Cúcuta,Educación,2,1,2023-05-20
Cartagena,Seguridad,3,4,2023-06-04
Cúcuta,Medio Ambiente,4,4,2023-02-13
Barranquilla,Medio Ambiente,4,4,2024-10-23
Cali,Educación,2,4,2023-01-20
Santa Marta,Seguridad,3,4,2024-07-28
Pereira,Educación,2,1,2023-10-04
Medellín,Educación,2,3,2024-02-27
Bogotá,Medio Ambiente,4,1,2023-04-20
Bogotá,Medio Ambiente,4,3,2023-03-10
Pereira,Medio Ambiente,4,3,2023-02-17
Bogotá,Medio Ambiente,4,1,2023-02-08
Manizales,Salud,1,3,2024-05-08
Bucaramanga,Seguridad,3,1,2024-07-09
Barranquilla,Educación,2,1,2024-06-03
Santa Marta,Medio Ambiente,4,2,2023-07-07
Cali,Medio Ambiente,4,2,2023-11-20
Pereira,Educación,2,4,2024-01-13
Cartagena,Educación,2,3,2024-02-03
Barranquilla,Educación,2,1,2023-09-28
Medellín,Educación,2,4,2024-07-03
Bucaramanga,Salud,1,3,2024-02-28
Cúcuta,Salud,1,3,2023-01-18
Pereira,Seguridad,3,2,2023-08-11
Medellín,Salud,1,2,2024-09-19
Santa Marta,Salud,1,3,2023-03-27
Barranquilla,Salud,1,3,2024-01-07
Bogotá,Seguridad,3,1,2024-08-17
Cartagena,Medio Ambiente,4,3,2024-04-20
Bogotá,Salud,1,3,2024-05-17
Bucaramanga,Medio Ambiente,4,2,2023-07-07
Medellín,Educación,2,1,2023-05-05
Bucaramanga,Seguridad,3,1,2023-06-29
Bucaramanga,Seguridad,3,1,2023-12-10
Bucaramanga,Educación,2,3,2024-09-30
Manizales,Medio Ambiente,4,4,2023-01-12
Santa Marta,Educación,2,2,2023-11-03
Cúcuta,Educación,2,2,2024-09-02
Pereira,Medio Ambiente,4,4,2024-07-09
Manizales,Seguridad,3,4,2024-04-11
Bogotá,Seguridad,3,1,2024-04-29
Santa Marta,Medio Ambiente,4,1,2023-12-19
Cali,Medio Ambiente,4,3,2023-11-06
Santa Marta,Educación,2,2,2024-10-27
Barranquilla,Medio Ambiente,4,2,2024-10-28
Bucaramanga,Medio Ambiente,4,4,2024-10-06
Santa Marta,Medio Ambiente,4,3,2024-07-30
Cúcuta,Salud,1,3,2024-06-08
Cartagena,Seguridad,3,2,2023-12-15
Cúcuta,Medio Ambiente,4,1,2023-09-05
Bucaramanga,Medio Ambiente,4,1,2023-12-31
Cúcuta,Educación,2,4,2024-01-12
Medellín,Salud,1,2,2024-01-08
Barranquilla,Seguridad,3,1,2024-01-15
Cartagena,Salud,1,4,2024-02-07
Pereira,Seguridad,3,1,2023-11-18
Manizales,Salud,1,3,2024-07-15
Santa Marta,Medio Ambiente,4,3,2024-04-19
Cartagena,Salud,1,4,2024-07-07
Manizales,Seguridad,3,2,2024-03-16
Medellín,Seguridad,3,1,2023-08-10
Santa Marta,Seguridad,3,4,2023-10-12
Pereira,Salud,1,3,2024-01-20
Medellín,Educación,2,4,2024-07-02
Cúcuta,Salud,1,2,2023-03-27
Cartagena,Seguridad,3,3,2023-11-06
Barranquilla,Educación,2,1,2023-11-05
Cartagena,Educación,2,3,2023-09-24
Cúcuta,Seguridad,3,3,2024-07-02
Cúcuta,Seguridad,3,2,2024-08-23
Cali,Medio Ambiente,4,1,2023-04-19
Bucaramanga,Medio Ambiente,4,1,2024-07-01
Cartagena,Salud,1,2,2023-04-26
Medellín,Educación,2,1,2024-03-07
Cúcuta,Seguridad,3,2,2023-09-12
Cartagena,Salud,1,4,2023-07-03
Cartagena,Medio Ambiente,4,3,2024-07-05
Bucaramanga,Seguridad,3,4,2023-10-01
Cali,Educación,2,4,2023-08-26
Cúcuta,Seguridad,3,1,2023-12-15
Bucaramanga,Seguridad,3,1,2023-02-09
Manizales,Educación,2,2,2023-12-06
Bogotá,Educación,2,4,2024-03-04
Medellín,Seguridad,3,3,2024-04-25
Manizales,Seguridad,3,1,2023-10-06
Cartagena,Educación,2,1,2023-07-11
Bucaramanga,Educación,2,4,2023-01-10
Bucaramanga,Educación,2,1,2024-05-08
Santa Marta,Salud,1,4,2024-03-15
Bogotá,Medio Ambiente,4,3,2024-05-12
Cartagena,Educación,2,2,2024-02-11
Cartagena,Educación,2,1,2024-07-19
Cúcuta,Medio Ambiente,4,2,2024-02-20
Manizales,Educación,2,4,2024-07-09
Cartagena,Educación,2,4,2023-12-20
Manizales,Educación,2,4,2024-11-08
Cúcuta,Seguridad,3,1,2024-07-13
Santa Marta,Educación,2,3,2024-09-22
Barranquilla,Educación,2,2,2024-10-25
Cúcuta,Medio Ambiente,4,3,2023-02-24
Medellín,Educación,2,1,2023-07-20
Manizales,Seguridad,3,4,2023-07-04
Bogotá,Seguridad,3,1,2023-07-31
Pereira,Educación,2,4,2023-06-24
Santa Marta,Seguridad,3,2,2024-06-27
Bogotá,Educación,2,3,2023-02-09
Barranquilla,Salud,1,2,2023-03-07
Pereira,Salud,1,3,2024-01-20
Medellín,Educación,2,2,2023-07-21
Cali,Salud,1,4,2023-04-08
Santa Marta,Educación,2,4,2023-02-16
Bucaramanga,Educación,2,2,2023-07-16
Barranquilla,Seguridad,3,2,2024-12-01
Manizales,Salud,1,2,2024-02-23
Cartagena,Educación,2,2,2024-11-25
Medellín,Salud,1,3,2024-06-21
Cartagena,Salud,1,1,2024-04-25
Santa Marta,Educación,2,2,2024-05-19
Barranquilla,Seguridad,3,3,2023-12-20
Pereira,Educación,2,4,2024-07-30
Cúcuta,Medio Ambiente,4,1,2024-09-28
Pereira,Medio Ambiente,4,4,2023-01-29
Cartagena,Salud,1,4,2024-02-07
Medellín,Educación,2,1,2023-02-05
Cúcuta,Salud,1,4,2023-11-14
Cúcuta,Seguridad,3,2,2024-02-10
Medellín,Educación,2,1,2023-12-02
Pereira,Educación,2,1,2024-07-22
Barranquilla,Medio Ambiente,4,3,2023-10-14
Bogotá,Educación,2,3,2023-04-10
Barranquilla,Educación,2,1,2023-09-06
Pereira,Salud,1,1,2023-11-28
Pereira,Medio Ambiente,4,2,2024-02-02
Cartagena,Medio Ambiente,4,1,2023-09-03
Santa Marta,Seguridad,3,4,2024-01-21
Cúcuta,Seguridad,3,3,2024-02-06
Pereira,Educación,2,1,2023-09-17
Cali,Medio Ambiente,4,1,2023-10-19
Cali,Seguridad,3,4,2023-11-09
Cali,Educación,2,2,2024-03-29
Bogotá,Educación,2,2,2023-06-04
Manizales,Educación,2,4,2023-01-26
Pereira,Educación,2,2,2023-11-19
Santa Marta,Educación,2,1,2023-03-20
Medellín,Salud,1,3,2024-10-15
Bogotá,Seguridad,3,2,2024-07-22
Cúcuta,Medio Ambiente,4,1,2023-10-08
Cúcuta,Educación,2,2,2023-04-08
Cúcuta,Salud,1,3,2024-07-31
Santa Marta,Salud,1,3,2024-10-24
Manizales,Medio Ambiente,4,1,2023-06-17
Medellín,Medio Ambiente,4,2,2023-11-29
Cali,Seguridad,3,2,2024-03-22
Pereira,Educación,2,2,2023-04-19
Bogotá,Medio Ambiente,4,1,2023-11-04
Cartagena,Medio Ambiente,4,3,2024-10-20
Barranquilla,Educación,2,1,2023-11-08
Pereira,Medio Ambiente,4,1,2023-01-06
Cúcuta,Educación,2,1,2024-03-06
Barranquilla,Seguridad,3,1,2024-02-17
Cartagena,Educación,2,2,2024-03-09
Santa Marta,Educación,2,4,2023-08-29
Santa Marta,Salud,1,2,2023-08-15
Cali,Seguridad,3,2,2023-01-06
Santa Marta,Educación,2,4,2023-06-07
Cali,Medio Ambiente,4,3,2023-12-16
Barranquilla,Salud,1,4,2024-05-13
Santa Marta,Medio Ambiente,4,3,2024-10-24
Cali,Educación,2,3,2023-07-20
Santa Marta,Medio Ambiente,4,3,2023-11-18
Barranquilla,Seguridad,3,3,2023-02-01
Cartagena,Educación,2,4,2024-08-23
Pereira,Salud,1,3,2023-06-13
Barranquilla,Educación,2,4,2024-06-30
Bogotá,Medio Ambiente,4,3,2023-09-05
Bogotá,Seguridad,3,1,2024-07-31
Manizales,Seguridad,3,2,2023-10-21
Bogotá,Educación,2,1,2023-05-18
Bogotá,Medio Ambiente,4,4,2024-04-26
Cartagena,Salud,1,4,2023-03-27
Cali,Medio Ambiente,4,1,2024-03-30
Bucaramanga,Salud,1,1,2024-11-02
Santa Marta,Educación,2,3,2023-12-17
Santa Marta,Educación,2,3,2024-07-24
Pereira,Medio Ambiente,4,2,2023-11-13
Bucaramanga,Seguridad,3,1,2023-11-09
Bucaramanga,Salud,1,2,2023-08-31
Bogotá,Medio Ambiente,4,4,2024-01-12
Cali,Salud,1,4,2023-04-11
Manizales,Educación,2,4,2024-10-23
Manizales,Educación,2,4,2023-05-15
Bucaramanga,Educación,2,2,2024-11-17
Bucaramanga,Educación,2,4,2023-03-15
Medellín,Salud,1,1,2023-12-30
Bogotá,Educación,2,4,2024-03-28
Bucaramanga,Medio Ambiente,4,1,2023-01-19
Bogotá,Educación,2,4,2024-05-12
Manizales,Educación,2,4,2024-05-22
Cali,Medio Ambiente,4,2,2023-03-08
Cartagena,Salud,1,2,2023-09-20
Cali,Educación,2,1,2023-11-07
Cartagena,Medio Ambiente,4,4,2023-09-05
Cúcuta,Educación,2,1,2024-10-13
Medellín,Salud,1,4,2024-04-28
Bogotá,Medio Ambiente,4,4,2024-04-04
Cúcuta,Medio Ambiente,4,2,2023-10-09
Bogotá,Salud,1,4,2023-04-27
Bucaramanga,Medio Ambiente,4,3,2023-10-07
Medellín,Salud,1,1,2023-10-17
Medellín,Educación,2,1,2023-07-23
Cúcuta,Educación,2,1,2024-11-18
Pereira,Medio Ambiente,4,4,2023-12-30
Bogotá,Educación,2,1,2024-09-29
Cali,Medio Ambiente,4,1,2023-11-11
Bucaramanga,Educación,2,2,2023-10-21
Pereira,Educación,2,1,2023-05-09
Pereira,Seguridad,3,1,2024-01-08
Cartagena,Salud,1,3,2023-09-06
Cali,Seguridad,3,1,2024-02-12
Bucaramanga,Educación,2,2,2023-11-27
Manizales,Educación,2,3,2023-09-30
Cartagena,Seguridad,3,3,2024-11-09
Bogotá,Educación,2,4,2024-10-08
Manizales,Medio Ambiente,4,2,2023-09-10
Santa Marta,Salud,1,3,2023-05-03
Bucaramanga,Medio Ambiente,4,4,2024-07-11
Bogotá,Salud,1,4,2024-09-20
