Ciudad,Comentario,Categoría del problema,Categoria numerica,Nivel de urgencia,Fecha del reporte
Pereira,queremos más presencia policial.,Seguridad,3,3,2023-02-10
Pereira,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-01-18
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-08-26
Bucaramanga,la contaminación del río está aumentando.,Medio Ambiente,4,1,2024-02-02
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-10-20
Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-08-28
Cúcuta,queremos más presencia policial.,Seguridad,3,1,2023-11-14
Bucaramanga,falta agua potable en varias casas.,Salud,1,3,2024-01-12
Barranquilla,queremos más presencia policial.,Seguridad,3,4,2024-11-14
Cali,queremos más presencia policial.,Seguridad,3,3,2024-05-17
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2024-01-26
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-11-16
Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2023-12-30
Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-09-02
Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-01-07
Cali,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2024-04-10
Barranquilla,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2024-11-23
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-04-05
Santa Marta,faltan médicos en el centro de salud.,Salud,1,4,2023-01-20
Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2024-02-02
Cali,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-02-28
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-05-29
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-10-28
Medellín,no hay suficientes escuelas públicas.,Educación,2,1,2023-11-28
Medellín,no hay suficientes escuelas públicas.,Educación,2,2,2023-02-01
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,1,2024-07-20
Bucaramanga,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2024-06-03
Pereira,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-01-30
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-04-08
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2024-02-09
Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-02-11
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-04-21
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-09-20
Barranquilla,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-07-31
Medellín,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-12-28
Cartagena,no hay suficientes escuelas públicas.,Educación,2,4,2024-08-16
Medellín,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-03-26
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-02-21
Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-11-11
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-09-29
Cúcuta,no hay suficientes escuelas públicas.,Educación,2,4,2023-05-26
Bucaramanga,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-06-11
Medellín,faltan médicos en el centro de salud.,Salud,1,3,2024-03-12
Santa Marta,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-10-20
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-10-01
Manizales,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-12-01
Manizales,la contaminación del río está aumentando.,Medio Ambiente,4,1,2024-06-11
Bucaramanga,falta agua potable en varias casas.,Salud,1,2,2023-06-21
Bucaramanga,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-11-20
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,4,2024-04-02
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-04-10
Medellín,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-01-23
Medellín,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2023-07-11
Medellín,faltan médicos en el centro de salud.,Salud,1,1,2024-06-29
Barranquilla,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-04-23
Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2023-06-13
Pereira,falta agua potable en varias casas.,Salud,1,1,2024-09-23
Bogotá,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-11-01
Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2024-02-11
Medellín,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-06-28
Pereira,falta agua potable en varias casas.,Salud,1,2,2024-06-30
Cúcuta,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2023-04-21
Medellín,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2024-04-04
Barranquilla,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-06-10
Barranquilla,faltan médicos en el centro de salud.,Salud,1,4,2024-07-21
Bucaramanga,queremos más presencia policial.,Seguridad,3,3,2023-04-17
Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-11-28
Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2024-01-12
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-11-29
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-01-04
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-12-06
Cúcuta,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-08-14
Manizales,no hay suficientes escuelas públicas.,Educación,2,3,2023-04-30
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2023-07-10
Manizales,faltan médicos en el centro de salud.,Salud,1,4,2024-10-16
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-10-20
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-01-29
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,2,2024-12-01
Bucaramanga,la contaminación del río está aumentando.,Medio Ambiente,4,1,2023-09-04
Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-04-28
Bogotá,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-10-06
Barranquilla,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-04-13
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-03-15
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2024-06-15
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-10-24
Cartagena,queremos más presencia policial.,Seguridad,3,3,2024-04-11
Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2024-07-30
Cali,faltan médicos en el centro de salud.,Salud,1,1,2024-06-08
Cartagena,no hay suficientes escuelas públicas.,Educación,2,2,2023-01-01
Pereira,queremos más presencia policial.,Seguridad,3,1,2024-08-20
Manizales,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2023-02-08
Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2024-09-23
Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-03-22
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-05-03
Cartagena,faltan médicos en el centro de salud.,Salud,1,3,2023-12-22
Manizales,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-10-27
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-01-19
Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-11-19
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-07-22
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-07-15
Medellín,queremos más presencia policial.,Seguridad,3,2,2024-07-27
Pereira,la contaminación del río está aumentando.,Medio Ambiente,4,1,2023-11-16
Barranquilla,queremos más presencia policial.,Seguridad,3,3,2024-07-18
Manizales,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-01-30
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2024-01-18
Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2024-03-12
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-03-21
Pereira,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-04-27
Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-12-20
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2023-08-26
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-01-22
Cali,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-09-23
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-09-19
Manizales,no hay suficientes escuelas públicas.,Educación,2,2,2024-03-02
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-12-12
Cali,queremos más presencia policial.,Seguridad,3,1,2023-06-16
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-10-05
Pereira,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2024-06-08
Pereira,la contaminación del río está aumentando.,Medio Ambiente,4,4,2024-06-20
Cali,falta agua potable en varias casas.,Salud,1,2,2024-11-11
Cúcuta,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-04-14
Cali,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-10-04
Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2024-07-22
Medellín,la contaminación del río está aumentando.,Medio Ambiente,4,1,2024-11-24
Cali,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2024-03-17
Pereira,necesitamos más acceso a internet en la zona.,Educación,2,2,2024-09-29
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-04-29
Bucaramanga,faltan médicos en el centro de salud.,Salud,1,2,2023-06-21
Manizales,no hay suficientes escuelas públicas.,Educación,2,2,2023-01-19
Cali,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-10-04
Cali,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-09-18
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2024-04-19
Cali,faltan médicos en el centro de salud.,Salud,1,3,2023-08-05
Bucaramanga,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2023-12-29
Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-06-23
Cúcuta,queremos más presencia policial.,Seguridad,3,2,2023-01-17
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-10-30
Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2024-08-24
Santa Marta,falta agua potable en varias casas.,Salud,1,3,2023-02-09
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-10-23
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-11-18
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-05-14
Bogotá,falta agua potable en varias casas.,Salud,1,1,2023-09-18
Pereira,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-04-22
Cartagena,no hay suficientes escuelas públicas.,Educación,2,1,2024-02-25
Cartagena,no hay suficientes escuelas públicas.,Educación,2,2,2023-03-28
Cali,no hay suficientes escuelas públicas.,Educación,2,4,2023-11-01
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-08-29
Bucaramanga,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-08-26
Barranquilla,queremos más presencia policial.,Seguridad,3,1,2023-07-04
Cali,queremos más presencia policial.,Seguridad,3,2,2023-06-18
Pereira,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2024-04-21
Manizales,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-07-18
Bogotá,falta agua potable en varias casas.,Salud,1,4,2023-04-10
Medellín,queremos más presencia policial.,Seguridad,3,4,2024-04-03
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-12-23
Barranquilla,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-09-25
Bucaramanga,no hay suficientes escuelas públicas.,Educación,2,2,2024-06-23
Bogotá,queremos más presencia policial.,Seguridad,3,2,2023-08-06
Bogotá,faltan médicos en el centro de salud.,Salud,1,4,2023-12-28
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-01-20
Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2024-05-08
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-01-18
Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-06-16
Cúcuta,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-08-09
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-03-24
Cali,no hay suficientes escuelas públicas.,Educación,2,4,2023-10-25
Cali,necesitamos más acceso a internet en la zona.,Educación,2,2,2024-11-04
Medellín,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-03-26
Cali,queremos más presencia policial.,Seguridad,3,3,2024-11-06
Bucaramanga,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2023-09-16
Medellín,falta agua potable en varias casas.,Salud,1,1,2023-07-19
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-04-01
Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-04-09
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-05-29
Cali,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2024-01-05
Medellín,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-08-01
Bogotá,no hay suficientes escuelas públicas.,Educación,2,1,2024-10-02
Medellín,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-07-13
Cali,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-06-14
Pereira,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-06-10
Bucaramanga,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-05-27
Barranquilla,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-01-09
Pereira,falta agua potable en varias casas.,Salud,1,1,2023-09-03
Cali,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-05-17
Pereira,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-06-02
Manizales,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-07-30
Cartagena,faltan médicos en el centro de salud.,Salud,1,1,2023-04-15
Barranquilla,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-02-04
Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2024-07-11
Cartagena,no hay suficientes escuelas públicas.,Educación,2,2,2024-06-12
Bucaramanga,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-04-01
Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-07-25
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2024-05-28
Medellín,faltan médicos en el centro de salud.,Salud,1,3,2023-01-11
Santa Marta,falta agua potable en varias casas.,Salud,1,1,2023-09-26
Cartagena,falta agua potable en varias casas.,Salud,1,4,2024-01-20
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-01-23
Manizales,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-11-16
Santa Marta,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-10-06
Medellín,faltan médicos en el centro de salud.,Salud,1,4,2023-10-15
Cartagena,falta agua potable en varias casas.,Salud,1,3,2023-01-12
Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-09-30
Bucaramanga,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-01-21
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-07-28
Medellín,queremos más presencia policial.,Seguridad,3,4,2023-03-07
Bucaramanga,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-01-18
Medellín,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-03-31
Bogotá,queremos más presencia policial.,Seguridad,3,1,2024-10-06
Bogotá,faltan médicos en el centro de salud.,Salud,1,2,2023-10-20
Cartagena,falta agua potable en varias casas.,Salud,1,2,2024-07-04
Bogotá,falta agua potable en varias casas.,Salud,1,2,2024-01-24
Pereira,no hay suficientes escuelas públicas.,Educación,2,1,2024-01-08
Medellín,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-08-29
Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2024-01-30
Medellín,falta agua potable en varias casas.,Salud,1,4,2024-07-08
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,1,2024-11-13
Medellín,no hay suficientes escuelas públicas.,Educación,2,2,2024-03-01
Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-02-17
Bogotá,no hay suficientes escuelas públicas.,Educación,2,3,2024-04-16
Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2024-06-03
Barranquilla,no hay suficientes escuelas públicas.,Educación,2,2,2023-04-12
Bucaramanga,queremos más presencia policial.,Seguridad,3,1,2024-08-22
Bogotá,falta agua potable en varias casas.,Salud,1,4,2023-09-18
Barranquilla,faltan médicos en el centro de salud.,Salud,1,4,2024-01-29
Cúcuta,no hay suficientes escuelas públicas.,Educación,2,3,2024-03-15
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2024-11-13
Santa Marta,queremos más presencia policial.,Seguridad,3,1,2023-12-09
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-06-20
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2023-04-11
Cali,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2024-07-11
Bucaramanga,queremos más presencia policial.,Seguridad,3,2,2024-07-02
Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-03-08
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2024-09-08
Bogotá,no hay suficientes escuelas públicas.,Educación,2,2,2023-07-29
Bogotá,no hay suficientes escuelas públicas.,Educación,2,3,2023-09-13
Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-11-21
Manizales,faltan médicos en el centro de salud.,Salud,1,4,2023-11-22
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-03-26
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-08-08
Manizales,falta agua potable en varias casas.,Salud,1,3,2023-11-05
Manizales,falta agua potable en varias casas.,Salud,1,1,2024-07-15
Barranquilla,faltan médicos en el centro de salud.,Salud,1,4,2024-06-25
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-03-24
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-08-24
Cartagena,queremos más presencia policial.,Seguridad,3,1,2024-08-14
Cali,queremos más presencia policial.,Seguridad,3,3,2024-07-04
Barranquilla,no hay suficientes escuelas públicas.,Educación,2,1,2023-12-27
Cúcuta,queremos más presencia policial.,Seguridad,3,3,2024-11-01
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,2,2024-05-22
Manizales,no hay suficientes escuelas públicas.,Educación,2,3,2023-01-21
Cartagena,queremos más presencia policial.,Seguridad,3,1,2024-08-14
Cali,faltan médicos en el centro de salud.,Salud,1,2,2023-06-15
Cúcuta,faltan médicos en el centro de salud.,Salud,1,2,2024-06-24
Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2024-05-23
Manizales,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-01-01
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2023-04-03
Cali,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-08-16
Santa Marta,faltan médicos en el centro de salud.,Salud,1,3,2023-07-25
Medellín,faltan médicos en el centro de salud.,Salud,1,2,2023-05-22
Bucaramanga,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-01-21
Pereira,no hay suficientes escuelas públicas.,Educación,2,1,2024-02-12
Bogotá,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-07-15
Barranquilla,la contaminación del río está aumentando.,Medio Ambiente,4,4,2024-11-05
Manizales,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-03-12
Cúcuta,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2024-05-15
Cali,queremos más presencia policial.,Seguridad,3,1,2023-09-04
Barranquilla,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-11-20
Cali,faltan médicos en el centro de salud.,Salud,1,2,2023-02-24
Santa Marta,faltan médicos en el centro de salud.,Salud,1,2,2023-06-22
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-03-23
Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2024-04-02
Barranquilla,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-02-17
Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-02-29
Pereira,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-07-15
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-06-18
Pereira,falta agua potable en varias casas.,Salud,1,1,2023-07-08
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2024-03-01
Medellín,queremos más presencia policial.,Seguridad,3,4,2024-05-27
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-04-01
Pereira,falta agua potable en varias casas.,Salud,1,1,2023-06-03
Cartagena,no hay suficientes escuelas públicas.,Educación,2,1,2024-09-13
Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-06-30
Cali,queremos más presencia policial.,Seguridad,3,1,2024-03-05
Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-03-24
Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-11-07
Barranquilla,faltan médicos en el centro de salud.,Salud,1,3,2024-07-25
Cúcuta,faltan médicos en el centro de salud.,Salud,1,4,2023-01-04
Santa Marta,queremos más presencia policial.,Seguridad,3,4,2024-06-23
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-06-10
Manizales,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-10-28
Bucaramanga,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2024-04-11
Pereira,queremos más presencia policial.,Seguridad,3,3,2023-12-11
Manizales,falta agua potable en varias casas.,Salud,1,1,2023-11-22
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-06-28
Cali,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-06-07
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2024-03-15
Cali,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2023-09-03
Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2024-05-02
Medellín,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-05-19
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2023-01-04
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-08-18
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-11-01
Medellín,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-03-27
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-01-17
Bucaramanga,falta agua potable en varias casas.,Salud,1,3,2023-10-05
Bucaramanga,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2024-09-07
Pereira,no hay suficientes escuelas públicas.,Educación,2,3,2024-06-24
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-09-16
Santa Marta,falta agua potable en varias casas.,Salud,1,4,2024-01-14
Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2024-08-19
Medellín,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2024-01-15
Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-05-10
Manizales,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-12-26
Manizales,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-03-16
Cartagena,queremos más presencia policial.,Seguridad,3,1,2024-08-23
Medellín,faltan médicos en el centro de salud.,Salud,1,2,2023-08-04
Pereira,faltan médicos en el centro de salud.,Salud,1,1,2024-07-12
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2023-03-14
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-10-28
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-02-09
Cartagena,no hay suficientes escuelas públicas.,Educación,2,1,2024-03-13
Medellín,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-04-26
Cartagena,no hay suficientes escuelas públicas.,Educación,2,4,2023-05-31
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,1,2023-07-27
Medellín,no hay suficientes escuelas públicas.,Educación,2,2,2023-06-01
Cartagena,queremos más presencia policial.,Seguridad,3,2,2023-04-16
Pereira,no hay suficientes escuelas públicas.,Educación,2,4,2023-01-31
Medellín,no hay suficientes escuelas públicas.,Educación,2,2,2024-11-20
Pereira,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2024-01-02
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-08-24
Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-04-11
Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-03-08
Medellín,no hay suficientes escuelas públicas.,Educación,2,2,2023-11-01
Bucaramanga,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2024-05-21
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,1,2024-09-27
Bucaramanga,queremos más presencia policial.,Seguridad,3,3,2024-06-12
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-08-28
Bogotá,queremos más presencia policial.,Seguridad,3,3,2024-02-20
Cali,falta agua potable en varias casas.,Salud,1,1,2024-11-28
Pereira,falta agua potable en varias casas.,Salud,1,4,2024-03-17
Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-07-26
Medellín,falta agua potable en varias casas.,Salud,1,2,2023-11-28
Barranquilla,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2023-04-26
Bucaramanga,faltan médicos en el centro de salud.,Salud,1,3,2023-12-22
Pereira,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2024-09-26
Cartagena,falta agua potable en varias casas.,Salud,1,3,2023-09-09
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2024-04-20
Medellín,no hay suficientes escuelas públicas.,Educación,2,2,2024-08-22
Cúcuta,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2024-11-15
Barranquilla,no hay suficientes escuelas públicas.,Educación,2,3,2024-02-20
Cali,necesitamos más acceso a internet en la zona.,Educación,2,3,2024-03-07
Pereira,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2023-03-03
Pereira,falta agua potable en varias casas.,Salud,1,2,2023-05-07
Barranquilla,queremos más presencia policial.,Seguridad,3,1,2023-08-03
Medellín,no hay suficientes escuelas públicas.,Educación,2,3,2024-01-15
Manizales,faltan médicos en el centro de salud.,Salud,1,3,2024-05-16
Medellín,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2024-11-06
Cúcuta,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2024-06-11
Barranquilla,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-03-18
